starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 31 17:39:14 2022	1667252354	1	1	1	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	1	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	1	2	1
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	2	2	1
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	1	2	2	1
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	1	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	2	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:15 2022	1667252355	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:15 2022	1667252355	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	2	3	2
